No,Content,Sentiment
1,I absolutely love this product! It works perfectly.,positive
2,This is the worst experience I have ever had.,negative
3,The delivery arrived on time and packaging was fine.,neutral
4,Amazing quality and super fast shipping!,positive
5,Completely broken on arrival. Very disappointed.,negative
6,It is okay. Does what it says nothing more.,neutral
7,Exceeded all my expectations. Highly recommend!,positive
8,Terrible customer service. Will not buy again.,negative
9,Average product for the price. Could be better.,neutral
10,Best purchase I have made this year!,positive
